id	text	misogynous	aggressiveness	nps	clean
1724	@_Francy_Fra_P immaginarti tanto troia mi eccita talmente che ti scoperei senza sosta	1	1	tanto troia mi ti senza sosta	immaginarti tanto troia mi eccita talmente che ti scoperei senza sosta
1725	Puttana la miseria Morali quanti schiaffi che ti darei. Cafona inqualificabile. #isola	1	1	la miseria Morali quanti schiaffi che ti darei Cafona inqualificabile. #isola	puttana la miseria morali quanti schiaffi che ti darei. cafona inqualificabile. #isola
1726	Eri la mia preferita ora, dopo questa scelta, sei una cagna!!!!!! PS: E sei anche invecchiata... #Isola https://t.co/8wApajgVzc	1	1	dopo questa scelta , sei una cagna PS: #Isola https://t.co/8wApajgVzc	eri la mia preferita ora, dopo questa scelta, sei una cagna!!!!!! ps: e sei anche invecchiata... #isola
1727	@CatFetish_74 @Cam4_IT @Cam4 @Cam4_FR @Cam4_ES @Cam4_DE @Cam4_UK @Cam4PromoRT Canta canta mentre ti sfonderei tutta culo e fica poi ti lavo tutta di sborra col mio mio microfono dentro la tua bocca da pompinara bevila tutta	1	1	@CatFetish_74 @Cam4_IT @Cam4 @Cam4_FR @Cam4_ES @Cam4_DE @Cam4_UK @Cam4PromoRT Canta ti tutta culo e fica ti di sborra col mio mio microfono dentro la tua bocca da pompinara	canta canta mentre ti sfonderei tutta culo e fica poi ti lavo tutta di sborra col mio mio microfono dentro la tua bocca da pompinara bevila tutta
1728	@NonnMilf @maturenl @miakhalifa @pioggiadoro @LinaFerris Che bel culone tutto da mordicchiare	1	1	@NonnMilf @maturenl @miakhalifa @pioggiadoro @LinaFerris Che bel culone tutto da mordicchiare	che bel culone tutto da mordicchiare
1729	@_FreakyBoy @ValeNappi Ammazza che culona!!!!	1	0	@_FreakyBoy @ValeNappi Ammazza che culona!!!!	ammazza che culona!!!!
1730	porca puttana dovete stare zitte quando ai concerti Harry canta From The Dining Table che cazzo urlate	1	1	porca puttana zitte ai concerti Harry From The Dining Table che cazzo urlate	porca puttana dovete stare zitte quando ai concerti harry canta from the dining table che cazzo urlate
1731	@AmandaCobello Buongiorno,questa notte ho fatto un sogno belliximo,ti succhiavo una tettona,quella destra poi mi sono svegliato purtroppo, ho provato un grande piacere, quella di sinistra te la succhio la proxima voltaUn bacione	1	1	questa notte un sogno belliximo ti una tettona quella destra mi un grande piacere, quella di sinistra te la la proxima voltaUn bacione	buongiorno,questa notte ho fatto un sogno belliximo,ti succhiavo una tettona,quella destra poi mi sono svegliato purtroppo, ho provato un grande piacere, quella di sinistra te la succhio la proxima voltaun bacione
1732	ti sborro in bocca vacca https://t.co/ec5guZXVrI	1	1	ti in bocca vacca https://t.co/ec5guZXVrI	ti sborro in bocca vacca
1733	Prendetevi qualche tettona che non sa recitare così finalmente i maschietti saranno contenti. Alicia Vikander non ve la meritate! Alla @WarnerBrosIta ovviamente non interesserà ma eviterò i loro film come la peste https://t.co/ELeIHeivhh	1	1	qualche tettona che non sa recitare così finalmente i maschietti Alicia Vikander ve i loro film come la peste https://t.co/ELeIHeivhh	prendetevi qualche tettona che non sa recitare così finalmente i maschietti saranno contenti. alicia vikander non ve la meritate! alla ovviamente non interesserà ma eviterò i loro film come la peste
1734	@GILDA31395269 ho voglia di riempirti quel bel culone ?❤️?	1	1	@GILDA31395269 voglia di riempirti quel bel culone ?	ho voglia di riempirti quel bel culone ?❤️?
1735	Io non mi ti si piscio di striscio. Io ti inculo capello liscio. @ Parma, Italy https://t.co/zwqh6almD5	1	1	Io mi ti si di striscio Io ti inculo capello liscio. @ Parma, Italy https://t.co/zwqh6almD5	io non mi ti si piscio di striscio. io ti inculo capello liscio. parma, italy
1736	@ginevraoceangdr E tu sei una cagna.	1	1	@ginevraoceangdr E tu sei una cagna.	e tu sei una cagna.
1737	Lrt PUTTANE MI AVETE FATTO PIANGERE CHE CAZZO SCRIVERE CHE SONO EMO IN STO MFOENDK	1	1	Lrt PUTTANE MI AVETE FATTO PIANGERE CHE CAZZO SCRIVERE CHE SONO EMO IN STO MFOENDK	lrt puttane mi avete fatto piangere che cazzo scrivere che sono emo in sto mfoendk
1738	?? puta??PUTTANA,mignotta,troia,bagascia,cagna,zoccola,baldracca.	1	1	,troia ,bagascia ,cagna ,zoccola ,baldracca	?? puta??puttana,mignotta,troia,bagascia,cagna,zoccola,baldracca.
1739	"Rapido riassunto della passeggiata con il cane di oggi.Oh che bel sole""""Ma che cazzo ci fanno tutti sti crucchi qui adesso? Sciò sciò andate via!""""Oh guarda che crucca figa! Vai Otto (il cane) interagisci!""""Dai cazzo che mo ci provo!"""""	1	0	"Rapido riassunto della passeggiata con il cane di oggi. che che cazzo ci tutti sti crucchi qui adesso Sciò che crucca figa (il cane) interagisci!""""Dai cazzo che mo ci provo"	"rapido riassunto della passeggiata con il cane di oggi.oh che bel sole""""ma che cazzo ci fanno tutti sti crucchi qui adesso? sciò sciò andate via!""""oh guarda che crucca figa! vai otto (il cane) interagisci!""""dai cazzo che mo ci provo!"""""
1740	Virginia facendo la figa di legno lo stai mandando da quell altra...riprenditi!!  #uominiedonne	1	0	Virginia la figa di legno lo da quell altra uominiedonne	virginia facendo la figa di legno lo stai mandando da quell altra...riprenditi!! #uominiedonne
1741	"@_Francy_Fra_P Porca, troia, puttana per molti anzi per tutti"" però fai la preziosa perchè ne segui pochi. Seguimi pompinara,dai.."""	1	1	"Porca , troia , puttana per molti anzi per tutti perchè ne pochi Seguimi pompinara,dai.."""	"porca, troia, puttana per molti anzi per tutti"" però fai la preziosa perchè ne segui pochi. seguimi pompinara,dai.."""
1742	Scopata casalinga davanti alla tv con moglie italiana tettona https://t.co/aKO4MvlqCU	1	1	Scopata casalinga davanti alla tv con moglie italiana tettona https://t.co/aKO4MvlqCU	scopata casalinga davanti alla tv con moglie italiana tettona
1743	Sei una cessa e non sono quello che dice can come un cane e che sei una cagna? — Can sta per “Emre Can” non per cane/cagna. Leggi un poco prima di scrivere quello che ti passa pe... https://t.co/uMhFh5yes5	1	1	Sei una cessa e non sono quello che dice can come un cane e che sei una cagna? Can per “Emre Can” non per cane/cagna Leggi un poco prima di scrivere quello che ti passa pe... https://t.co/uMhFh5yes5	sei una cessa e non sono quello che dice can come un cane e che sei una cagna? — can sta per “emre can” non per cane/cagna. leggi un poco prima di scrivere quello che ti passa pe...
1744	@MrDex68 @magistrimarini2 Che bella cagnata ....mandiamoci anche la culona tedesca ?	1	1	@MrDex68 @magistrimarini2 Che bella cagnata anche la culona tedesca	che bella cagnata ....mandiamoci anche la culona tedesca ?
1745	Vabbe' ma che cazzo di foto e' questa???Poi dite che non dobbiamo chiamarvi con il vostro vero  nome di battesimo ...grandissime troie!Ora attaccattemi che poi nell'immediato vi attacco IO al muro idiote/i!!! https://t.co/ez9uq4y879	1	1	che cazzo di foto questa???Poi nome di battesimo ...grandissime troie!Ora attaccattemi che poi nell'immediato vi attacco IO al muro idiote/ https://t.co/ez9uq4y879	vabbe' ma che cazzo di foto e' questa???poi dite che non dobbiamo chiamarvi con il vostro vero nome di battesimo ...grandissime troie!ora attaccattemi che poi nell'immediato vi attacco io al muro idiote/i!!!
1746	@Turbotriste che pezzo di figa	1	0	@Turbotriste che pezzo di figa	che pezzo di figa
1747	@la_chivismayte Che puttanona	1	0	Che puttanona	che puttanona
1748	@CatFetish_74 Che cagna che sei	1	1	@CatFetish_74 Che cagna che sei	che cagna che sei
1749	La kardascian è diventata una culona inscopabile, madonna mia questa fra un paio di anni diventa una bbw da nemmeno poter guardare	1	1	La kardascian una culona inscopabile, madonna mia questa fra un paio di anni una bbw da nemmeno poter guardare	la kardascian è diventata una culona inscopabile, madonna mia questa fra un paio di anni diventa una bbw da nemmeno poter guardare
1750	ora non so se restare A o tornare la mia tettona	1	0	ora non so se restare A o tornare la mia tettona	ora non so se restare a o tornare la mia tettona
1751	@SalGal1899 @VelenoN_ Zitto figlio di troia quella lurida puttanazza bocchinara di tua madre mentre tu scrivi su twitter a quella lurida schifosa ingorda di cazzi stanno spanando il buco del culo	1	1	@SalGal1899 @VelenoN_ Zitto figlio di troia quella lurida puttanazza bocchinara di tua madre mentre tu scrivi su twitter a quella lurida schifosa ingorda di cazzi il buco del culo	zitto figlio di troia quella lurida puttanazza bocchinara di tua madre mentre tu scrivi su twitter a quella lurida schifosa ingorda di cazzi stanno spanando il buco del culo
1752	Tettona vaccona troia	1	1	Tettona troia	tettona vaccona troia
1753	@Robybisessuale mmmm che gran troia che sei.... ❤️❤️❤️	1	1	@Robybisessuale mmmm che gran troia che sei .... ❤	mmmm che gran troia che sei.... ❤️❤️❤️
1754	❤️ troia succhiacazzi ! muori vecchia zoccola ! bimbaminchia ritardata e tu muto frocio maledetto ❤️tra  tette culi e tanta voglia di cazzo che bello è arrivata la Primavera❤️ https://t.co/OxzRI2b3Q6	1	1	❤️ troia succhiacazzi ! zoccola bimbaminchia ritardata e tu muto frocio maledetto ❤️tra  tette culi e tanta voglia di cazzo che bello la Primavera❤️ https://t.co/OxzRI2b3Q6	❤️ troia succhiacazzi ! muori vecchia zoccola ! bimbaminchia ritardata e tu muto frocio maledetto ❤️tra tette culi e tanta voglia di cazzo che bello è arrivata la primavera❤️
1755	Cioè a parte che rimangono tette, solo di una dimensione diversa, ma poi non capisco il problema? Non a tutti piacciono le tettone?¿ A ognuno piace il katso che glie pare?¿? Le tette grandi mi piacciono solo su Eva Green per il resto ew (e ovviamente chissene sono gusti miei ma)	1	0	Cioè a parte che rimangono tette, solo di una dimensione diversa, ma poi non capisco il problema? a tutti le tettone ¿ A ognuno il katso che glie pare ¿? Le tette grandi mi solo su Eva Green per il resto ew (e ovviamente chissene sono gusti miei ma)	cioè a parte che rimangono tette, solo di una dimensione diversa, ma poi non capisco il problema? non a tutti piacciono le tettone?¿ a ognuno piace il katso che glie pare?¿? le tette grandi mi piacciono solo su eva green per il resto ew (e ovviamente chissene sono gusti miei ma)
1756	@NincoNnco @Comunardo Quando Salvini andrà in Europa a mettere in riga la culona	1	1	@Comunardo Salvini in Europa in riga la culona	quando salvini andrà in europa a mettere in riga la culona
1757	Che tra l altro sono loro quelle che manco hanno un bel culo e le prime a mettersi cose cortissime ed aderentissime solamente per dare l'effetto che la roba ce l'hanno..Che schifo, luride troie pure in palestra me le devo subire	1	1	Che tra l altro sono loro quelle che manco hanno un bel culo e le prime a mettersi cose cortissime ed aderentissime solamente per dare l'effetto che la roba ce l'hanno.. Che schifo, luride troie pure in palestra me le devo subire	che tra l altro sono loro quelle che manco hanno un bel culo e le prime a mettersi cose cortissime ed aderentissime solamente per dare l'effetto che la roba ce l'hanno..che schifo, luride troie pure in palestra me le devo subire
1758	te lo lecco per ore lo assaporo tutto ci infilo pure la lingua siiii poi ti inculo prima dolcemente poi duro fino a riempirtelo tutto di sborra https://t.co/8DClx1yMTi	1	1	te lo lecco per ore lo tutto ci la lingua siiii ti fino a riempirtelo tutto di sborra https://t.co/8DClx1yMTi	te lo lecco per ore lo assaporo tutto ci infilo pure la lingua siiii poi ti inculo prima dolcemente poi duro fino a riempirtelo tutto di sborra
1759	@dr_A23 Ce la tettona stasera ?	1	1	@dr_A23 Ce la tettona stasera ?	ce la tettona stasera ?
1760	figa di legno https://t.co/9lZK38FidO	1	1	figa di legno https://t.co/9lZK38FidO	figa di legno
1761	Che brutto, e noi che speravamo fosse con la tettona. Mi dispiace. #chilhavisto	1	0	Che brutto, e noi che speravamo fosse con la tettona. Mi chilhavisto	che brutto, e noi che speravamo fosse con la tettona. mi dispiace. #chilhavisto
1762	Porca puttana quanto vorrei farmi Jennifer Lawrence.. dico, chi non vorrebbe!? https://t.co/aDq3yb6CZE	1	0	Porca puttana quanto vorrei farmi Jennifer Lawrence chi	porca puttana quanto vorrei farmi jennifer lawrence.. dico, chi non vorrebbe!?
1763	- Senti un po', chi è quella con la faccia da troia che ti ha appena salutato?- Amore, è una che ho conosciuto sul lavoro.- Il suo o il tuo?	1	1	chi è quella con la faccia da troia che ti ha appena salutato?- Amore è una che ho conosciuto sul lavoro.- Il suo o il tuo	- senti un po', chi è quella con la faccia da troia che ti ha appena salutato?- amore, è una che ho conosciuto sul lavoro.- il suo o il tuo?
1764	Il profondo fastidio che mi genera Anne Hathway con il suo essere bella, elegante, perfettina, magra e come se non bastasse tettona	1	0	Il profondo fastidio che mi genera Anne Hathway tettona	il profondo fastidio che mi genera anne hathway con il suo essere bella, elegante, perfettina, magra e come se non bastasse tettona
1765	@Vappa07 Hai ragione, per esempio modestamente questo tweet è meraviglioso e nessuno lo ha cagato, l'avesse scritto una Twitstar tettona avrebbe 10.000 like, ti pare giusto? https://t.co/7Tum5wbEw4	1	1	@Vappa07 ragione per esempio questo tweet nessuno lo l' una Twitstar tettona 10.000 like ti https://t.co/7Tum5wbEw4	hai ragione, per esempio modestamente questo tweet è meraviglioso e nessuno lo ha cagato, l'avesse scritto una twitstar tettona avrebbe 10.000 like, ti pare giusto?
1766	Comunque non posso crederci, Lane è davvero un puttanone senza scrupoli, né umanità #TheResident	1	1	Comunque non posso crederci, Lane è davvero un puttanone senza scrupoli, né umanità #TheResident	comunque non posso crederci, lane è davvero un puttanone senza scrupoli, né umanità #theresident
1767	RT @danilosantini65: Coglioni #MadeInItaly Hai capito la culona tedesca!!Strizza l’occhio a #Trump per farsi togliere i #dazi,caccia 4 #dip…	1	1	RT @danilosantini65: Coglioni #MadeInItaly la culona tedesca!!Strizza l’occhio a #Trump i #dazi ,caccia 4 #dip…	rt coglioni #madeinitaly hai capito la culona tedesca!!strizza l’occhio a #trump per farsi togliere i #dazi,caccia 4 #dip…
1768	@GILDA31395269 @MiTi6969 Che gran pezzo di figa che sei...mmmmm	1	1	@GILDA31395269 @MiTi6969 Che gran pezzo di figa che sei...mmmmm	che gran pezzo di figa che sei...mmmmm
1769	@Cattleyaxyxy scrivimi ,3389191297 per me sei una porca e non una troia	1	1	@Cattleyaxyxy scrivimi ,3389191297 per me sei una porca e non una troia	scrivimi ,3389191297 per me sei una porca e non una troia
1770	@Robybisessuale Nessun rossore...si nota solo che hai una lingua da porca...da gran pompinara...?	1	1	Nessun rossore... si una lingua da porca da gran pompinara...	nessun rossore...si nota solo che hai una lingua da porca...da gran pompinara...?
1771	@stanzaselvaggia Facessi parlare le tue tette diresti cose almeno interessanti....sei di uno squallore infinito oltre che essere una  vecchia baldracca	1	1	@stanzaselvaggia Facessi le tue tette cose almeno interessanti di uno squallore infinito vecchia baldracca	facessi parlare le tue tette diresti cose almeno interessanti....sei di uno squallore infinito oltre che essere una vecchia baldracca
1772	Fai tutta la figa di legno e poi sei passata da un cazzo all’altro in un batter d’occhio. — quanto siete monotoni cambiate repertorio https://t.co/rvnBSq0I3m	1	1	tutta la figa di legno da un cazzo all’altro in un batter d’occhio — quanto siete monotoni cambiate repertorio https://t.co/rvnBSq0I3m	fai tutta la figa di legno e poi sei passata da un cazzo all’altro in un batter d’occhio. — quanto siete monotoni cambiate repertorio
1773	@erisdelrey “figa di legno” è l’insulto del mese	1	0	@erisdelrey “figa di legno” è l’insulto del mese	“figa di legno” è l’insulto del mese
1774	@Melodika82 Sarà, ma che pezzo di figa tesò	1	0	@Melodika82 Sarà, ma che pezzo di figa tesò	sarà, ma che pezzo di figa tesò
1775	@jeandeIarge non cerco mica storie con impegno e non pensavo che tu fossi una figa di legnooo	1	1	@jeandeIarge storie con impegno che tu fossi una figa di legnooo	non cerco mica storie con impegno e non pensavo che tu fossi una figa di legnooo
1776	@lolitabrown771 @DevilDooL @RT4CAM @Mzkizz1 @ErivanEsc @chaturbateEU @chaturbate @TheDreamMan4 @hudinie1 @Whitelover69 @ChaturbateGrls @TheeJackHoff Che bella figa ché ai mi piacerebbe leccare tutta amore mio ti scoperei tutta	1	1	@lolitabrown771 @DevilDooL @RT4CAM @Mzkizz1 @ErivanEsc @chaturbateEU @chaturbate @TheDreamMan4 @hudinie1 @Whitelover69 @ChaturbateGrls @TheeJackHoff Che bella figa ché ai mi piacerebbe leccare tutta amore mio ti scoperei tutta	che bella figa ché ai mi piacerebbe leccare tutta amore mio ti scoperei tutta
1777	Tory Ash si è trasformata in un puttanone da combattimento. #Empire	1	1	Tory Ash si in un puttanone da combattimento #Empire	tory ash si è trasformata in un puttanone da combattimento. #empire
1778	ho fatto sto percorso cON ESTREMA UMILTÀ MA CHE CAZZO STAI A DI VALENTINA MA STAI ZITTA PORCA TROIA #amici17	1	1	cON ESTREMA UMILTÀ MA CHE CAZZO STAI A DI VALENTINA MA STAI ZITTA PORCA TROIA #amici17	ho fatto sto percorso con estrema umiltà ma che cazzo stai a di valentina ma stai zitta porca troia #amici17
1779	@KarinProia Uff... ancora non l'han capito che la #tettona è un richiamo ancestrale per il maschio? Le #assi di legno in compenso son piú comode... ma tanto l'erba del vicino è sempre piú verde, cosa vuoi farci mai.	1	1	Uff l' che la #tettona è un richiamo ancestrale per il maschio Le #assi di legno in compenso l'erba del vicino cosa	uff... ancora non l'han capito che la #tettona è un richiamo ancestrale per il maschio? le #assi di legno in compenso son piú comode... ma tanto l'erba del vicino è sempre piú verde, cosa vuoi farci mai.
1780	@marghe581 Una gran figa da scopare	1	0	@marghe581 Una gran figa da scopare	una gran figa da scopare
1781	@Frances21520164 Lurida cagna di meretricio !!!	1	1	@Frances21520164 Lurida cagna di meretricio !!!	lurida cagna di meretricio !!!
1782	@iosonokarma Lurida cagna di meretricio.	1	1	@iosonokarma Lurida cagna di meretricio.	lurida cagna di meretricio.
1783	Quanto sarebbe più facile la vita se fossi una gamer streamer asiatica tettona	1	0	la vita se fossi una gamer streamer asiatica tettona	quanto sarebbe più facile la vita se fossi una gamer streamer asiatica tettona
1784	@FedericaTroiona Hai la figa bagnata...??? Ti farei squirtare come una zoccoletta, e poi te lo metterei anche nel culo..!!! Hai una aria da troietta di quartiere..	1	1	la figa bagnata Ti come una zoccoletta te lo anche nel culo una aria da troietta di quartiere	hai la figa bagnata...??? ti farei squirtare come una zoccoletta, e poi te lo metterei anche nel culo..!!! hai una aria da troietta di quartiere..
1785	@AmandaCobello Se vuoi ti sborro sule mutandine di Kitty ok.! ??	1	1	ti mutandine di Kitty ok	se vuoi ti sborro sule mutandine di kitty ok.! ??
1786	puttana da quattro soldi ma che cazzo pretende da me	1	1	da quattro soldi che cazzo da me	puttana da quattro soldi ma che cazzo pretende da me
1787	cam cam cammadonna che puttanone https://t.co/ghKoDu1Hac	1	1	cam cam cammadonna che puttanone https://t.co/ghKoDu1Hac	cam cam cammadonna che puttanone
1788	@matteosalvinimi Esatto i nostri veri nemici sono la Francia e quel fighetto di Macron e la Germania e quella culona della Merkel!	1	1	@matteosalvinimi Esatto i nostri veri nemici sono la Francia e quel fighetto di Macron e la Germania e quella culona della Merkel!	esatto i nostri veri nemici sono la francia e quel fighetto di macron e la germania e quella culona della merkel!
1789	@atsky1969 @matteosalvinimi Cambierei la culona della Merkel con tutti i nostri politici degli ultimi 30 anni.....	1	0	@atsky1969 @matteosalvinimi la culona della Merkel con tutti i nostri politici degli ultimi 30 anni	cambierei la culona della merkel con tutti i nostri politici degli ultimi 30 anni.....
1790	@ItalianBollenti che gran puttanona in mezzo a sti vecchi col cazzo piccolo....vieni qui cagna che ti chiavo a sangue....mmmmm	1	1	gran puttanona in mezzo a sti vecchi col cazzo piccolo ....vieni qui cagna che ti chiavo a sangue	che gran puttanona in mezzo a sti vecchi col cazzo piccolo....vieni qui cagna che ti chiavo a sangue....mmmmm
1791	@ansa_it Ha ragione che vadano a fanculo quel francese di merda e quella culona inchiavabile tedesca !	1	1	@ansa_it Ha ragione che vadano a fanculo quel francese di merda e quella culona inchiavabile tedesca !	ha ragione che vadano a fanculo quel francese di merda e quella culona inchiavabile tedesca !
1792	Con una tettona come Yasmine non si poteva far altro che tirar fuori il cazzo e metterglielo li' #racconti #erotici https://t.co/jx6P7LCWAh	1	1	Con una tettona come Yasmine si altro il cazzo li' #racconti #erotici https://t.co/jx6P7LCWAh	con una tettona come yasmine non si poteva far altro che tirar fuori il cazzo e metterglielo li' #racconti #erotici
1793	#BallandoConLeStelle Bova sarà foto, ma Rocio è un gran pezzo di figa!	1	0	#BallandoConLeStelle Bova sarà foto, ma Rocio è un gran pezzo di figa!	#ballandoconlestelle bova sarà foto, ma rocio è un gran pezzo di figa!
1794	Puoi tornartene da dove sei venuta, zoccoletta!!!!!Mai. Levati. https://t.co/lnaQVKZcrO	1	1	Puoi tornartene da dove sei venuta, zoccoletta!!!!!Mai. https://t.co/lnaQVKZcrO	puoi tornartene da dove sei venuta, zoccoletta!!!!!mai. levati.
1795	mi manca @sorightyouknow anche se è una lurida puttana	1	1	mi anche se è una lurida puttana	mi manca anche se è una lurida puttana
1796	@LaVeritaWeb @deeplyfree3 @ARoldering Confiscategli tutto. Anche la moglie che si vergognava di essere italiana. Ha fatto un grande affare .Ed ora fatti un'altra risatina tu e la culona coi baffetti !	1	0	@LaVeritaWeb @deeplyfree3 @ARoldering Confiscategli tutto. Anche la moglie che si vergognava di essere italiana. un grande affare un'altra risatina tu e la culona coi baffetti	confiscategli tutto. anche la moglie che si vergognava di essere italiana. ha fatto un grande affare .ed ora fatti un'altra risatina tu e la culona coi baffetti !
1797	@stanzaselvaggia Purtroppo lei non dice mai cose così così.... solo cattiverie da zitella acida	1	1	@stanzaselvaggia lei cose .... solo cattiverie da zitella acida	purtroppo lei non dice mai cose così così.... solo cattiverie da zitella acida
1798	@stanzaselvaggia dire acida è farti un complimento, saranno le arance marce che hai al posto delle guance #BallandoConLeStelle	1	0	@stanzaselvaggia un complimento , saranno le arance marce che hai al posto delle guance #BallandoConLeStelle	dire acida è farti un complimento, saranno le arance marce che hai al posto delle guance #ballandoconlestelle
1799	benedetto il dio come ti stupro https://t.co/p5SXNGtsOG	1	1	il dio ti https://t.co/p5SXNGtsOG	benedetto il dio come ti stupro
1800	NO DIMI ANCORA OH CHE TI RINCHIUDO CON ME E TI STUPRO PWRWNNEMNTE LER SEMLRE https://t.co/GHCO3WpFSA	1	1	DIMI ANCORA OH CHE TI RINCHIUDO CON ME E TI STUPRO PWRWNNEMNTE LER SEMLRE https://t.co/GHCO3WpFSA	no dimi ancora oh che ti rinchiudo con me e ti stupro pwrwnnemnte ler semlre
1801	@MomblanOfficial Momblano ti stupro Ano	1	1	@MomblanOfficial Momblano ti stupro Ano	momblano ti stupro ano
1802	"ma porco dio state tutto il giorno a fotografarvi i tettoni poi appena uno si permette di dire: dio cane che bocce!"" gli date del ritardato...allora invece di fare le troie su twitter scrivete dei libri se volete essere considerate in altro modo. Finchè farete le puttane.. https://t.co/ny2BboSbpt"""	1	1	"ma porco dio state tutto il giorno a fotografarvi i tettoni uno si dio cane che bocce! "" gli date del ritardato...allora invece di fare le troie su twitter scrivete dei libri se volete essere considerate in altro modo. le puttane.. https://t.co/ny2BboSbpt"""	"ma porco dio state tutto il giorno a fotografarvi i tettoni poi appena uno si permette di dire: dio cane che bocce!"" gli date del ritardato...allora invece di fare le troie su twitter scrivete dei libri se volete essere considerate in altro modo. finchè farete le puttane.."
1803	@scopgdrx Ti sbatterei come una cagna ...	1	1	@scopgdrx Ti come una cagna	ti sbatterei come una cagna ...
1804	ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si mangia i conigli, simo è una rompi cazzo, mattia è una puttana che ci prova con tutti eccquesto è il team kai, SALVE	1	0	ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si i conigli , simo è una rompi cazzo mattia è una puttana che ci prova con tutti eccquesto è il team kai, SALVE	ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si mangia i conigli, simo è una rompi cazzo, mattia è una puttana che ci prova con tutti eccquesto è il team kai, salve
1805	RT @damontkgdr: ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si mangi…	1	1	RT @damontkgdr: ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si mangi…	rt ue raga io sono un’egoista del cazzo, manui è psicopatica, giulia è nana e irritante (ah no, lo è davvero), silvia si mangi…
1806	@Giuliettaxxx84 Si lascia usare senza problemi! Cagna che sei @Giuliettaxxx84 https://t.co/Q3qXGqscMR	1	1	@Giuliettaxxx84 Si senza problemi Cagna che sei @Giuliettaxxx84 https://t.co/Q3qXGqscMR	si lascia usare senza problemi! cagna che sei
1807	@Giuliettaxxx84 apri bene le gambe lurida troia... https://t.co/YVBxMIOzrv	1	1	@Giuliettaxxx84 le gambe lurida troia https://t.co/YVBxMIOzrv	apri bene le gambe lurida troia...
1808	@rubicornio mi bella culona....	1	0	@rubicornio mi bella culona....	mi bella culona....
1809	@Giuliettaxxx84 sei una cagna ninfomame... https://t.co/tqeHznYA3R	1	1	@Giuliettaxxx84 sei una cagna ninfomame... https://t.co/tqeHznYA3R	sei una cagna ninfomame...
1810	@_Francy_Fra_P Che faccia da troia	1	1	Che da troia	che faccia da troia
1811	non c’e tempo pi le puttane false. che cazzo e’ chistu minchiata?!	1	0	non c’e tempo pi le puttane false. che cazzo e’ chistu minchiata?!	non c’e tempo pi le puttane false. che cazzo e’ chistu minchiata?!
1812	@amateur_exhibit Che bella culona	1	0	@amateur_exhibit Che bella culona	che bella culona
1813	@decisamdonna Non esiste pigiama anti stupro, solo cessi che lo indossano	1	1	@decisamdonna anti stupro solo cessi che lo indossano	non esiste pigiama anti stupro, solo cessi che lo indossano
1814	@amandaeliseIee Pezzo di figa	1	0	@amandaeliseIee Pezzo di figa	pezzo di figa
1815	@mariangela681 Anche a te Tettona	1	0	@mariangela681 Anche a te Tettona	anche a te tettona
1816	Quante vecchie baldracche su twitter. Ma che cazzo cercate? Andate a preparare la pasta al forno porca troia.	1	1	Quante vecchie baldracche su twitter. che cazzo la pasta al forno porca troia	quante vecchie baldracche su twitter. ma che cazzo cercate? andate a preparare la pasta al forno porca troia.
1817	@GabySalvo @juventusfc @acmilan Puttana tua madre quella baldracca, figlio di meritrice, tua mamma cagna, tua madre troiazza	1	1	@GabySalvo @juventusfc @acmilan Puttana tua madre quella baldracca, figlio di meritrice, tua mamma cagna, tua madre troiazza	puttana tua madre quella baldracca, figlio di meritrice, tua mamma cagna, tua madre troiazza
1818	@Sabrina43567316 Buona Pasqua bella tettona!!! Se vuoi farmi il regalo seguimi!!! ????	1	1	@Sabrina43567316 Buona Pasqua bella tettona!! il regalo seguimi	buona pasqua bella tettona!!! se vuoi farmi il regalo seguimi!!! ????
1819	@SexyRamonaXXX Ramona .....te lo metterei nell’ano e nello stesso ti leccherei la figa con succhiata del clitoride.....sai che goduria....hmmmm ?	1	1	Ramona .....te lo nell’ano nello stesso ti la figa con succhiata del clitoride che goduria....hmmmm	ramona .....te lo metterei nell’ano e nello stesso ti leccherei la figa con succhiata del clitoride.....sai che goduria....hmmmm ?
1820	@dan_grossi mi fa ricordare woody allen in un film, credo mariti e mogli del 1992, spiega ad una amica chi è una persona che incontrano quello è un critico cinematografico, prima stroncava tutti i films, poi si è fidanzato con una tettona ed ora i film so	1	0	@dan_grossi mi woody allen in un film mariti e mogli del 1992 ad una amica chi è una persona che incontrano quello è un critico cinematografico tutti i films si con una tettona i film	mi fa ricordare woody allen in un film, credo mariti e mogli del 1992, spiega ad una amica chi è una persona che incontrano quello è un critico cinematografico, prima stroncava tutti i films, poi si è fidanzato con una tettona ed ora i film so
1821	@duzzo1979 Buona Pasqua anche a te bellissima tettona	1	0	@duzzo1979 Buona Pasqua anche a te bellissima tettona	buona pasqua anche a te bellissima tettona
